transaction_id,product_id,price
1000,0,0.0
1001,2,84.15
1002,4,90.93
1003,6,14.11
1004,8,75.68
1005,10,95.89
1006,12,27.94
1007,14,65.7
1008,16,98.94
1009,18,41.21
1010,20,54.4
1011,22,100.0
1012,24,53.66
1013,26,42.02
1014,28,99.06
1015,30,65.03
1016,32,28.79
1017,34,96.14
1018,36,75.1
1019,38,14.99
1020,40,91.29
1021,42,83.67
1022,44,0.89
1023,46,84.62
1024,48,90.56
1025,50,13.24
1026,52,76.26
1027,54,95.64
1028,56,27.09
1029,58,66.36
1030,60,98.8
1031,62,40.4
1032,64,55.14
1033,66,99.99
1034,68,52.91
1035,70,42.82
1036,72,99.18
1037,74,64.35
1038,76,29.64
1039,78,96.38
1040,80,74.51
1041,82,15.86
1042,84,91.65
1043,86,83.18
1044,88,1.77
1045,90,85.09
1046,92,90.18
1047,94,12.36
1048,96,76.83
1049,98,95.38
1050,100,26.24
1051,102,67.02
1052,104,98.66
1053,106,39.59
1054,108,55.88
1055,110,99.98
1056,112,52.16
1057,114,43.62
1058,116,99.29
1059,118,63.67
1060,120,30.48
1061,122,96.61
1062,124,73.92
1063,126,16.74
1064,128,92.0
1065,130,82.68
1066,132,2.66
1067,134,85.55
1068,136,89.79
1069,138,11.48
1070,140,77.39
1071,142,95.11
1072,144,25.38
1073,146,67.68
1074,148,98.51
1075,150,38.78
1076,152,56.61
1077,154,99.95
1078,156,51.4
1079,158,44.41
1080,160,99.39
1081,162,62.99
1082,164,31.32
1083,166,96.84
1084,168,73.32
1085,170,17.61
1086,172,92.35
1087,174,82.18
1088,176,3.54
1089,178,86.01
1090,180,89.4
1091,182,10.6
1092,184,77.95
1093,186,94.83
1094,188,24.53
1095,190,68.33
1096,192,98.36
1097,194,37.96
1098,196,57.34
1099,198,99.92
1100,200,50.64
1101,202,45.2
1102,204,99.48
1103,206,62.3
1104,208,32.16
1105,210,97.05
1106,212,72.71
1107,214,18.48
1108,216,92.68
1109,218,81.67
1110,220,4.42
1111,222,86.46
1112,224,89.0
1113,226,9.72
1114,228,78.5
1115,230,94.54
1116,232,23.67
1117,234,68.97
1118,236,98.2
1119,238,37.14
1120,240,58.06
1121,242,99.88
1122,244,49.87
1123,246,45.99
1124,248,99.57
1125,250,61.6
1126,252,33.0
1127,254,97.26
1128,256,72.1
1129,258,19.35
1130,260,93.01
1131,262,81.16
1132,264,5.31
1133,266,86.9
1134,268,88.59
1135,270,8.84
1136,272,79.04
1137,274,94.25
1138,276,22.81
1139,278,69.61
1140,280,98.02
1141,282,36.32
1142,284,58.78
1143,286,99.83
1144,288,49.1
1145,290,46.77
1146,292,99.65
1147,294,60.9
1148,296,33.83
1149,298,97.46
1150,300,71.49
1151,302,20.21
1152,304,93.33
1153,306,80.64
1154,308,6.19
1155,310,87.33
1156,312,88.18
1157,314,7.95
1158,316,79.58
1159,318,93.95
1160,320,21.94
1161,322,70.24
1162,324,97.85
1163,326,35.49
1164,328,59.49
1165,330,99.78
1166,332,48.33
1167,334,47.56
1168,336,99.72
1169,338,60.2
1170,340,34.66
1171,342,97.66
1172,344,70.87
1173,346,21.08
1174,348,93.65
1175,350,80.11
1176,352,7.08
1177,354,87.76
1178,356,87.76
1179,358,7.07
1180,360,80.12
1181,362,93.65
1182,364,21.08
1183,366,70.87
1184,368,97.66
1185,370,34.66
1186,372,60.2
1187,374,99.72
1188,376,47.55
1189,378,48.33
1190,380,99.78
1191,382,59.49
1192,384,35.49
1193,386,97.85
1194,388,70.24
1195,390,21.95
1196,392,93.95
1197,394,79.58
1198,396,7.96
1199,398,88.18
1200,400,87.33
1201,402,6.19
1202,404,80.64
1203,406,93.33
1204,408,20.21
1205,410,71.49
1206,412,97.46
1207,414,33.83
1208,416,60.91
1209,418,99.65
1210,420,46.77
1211,422,49.1
1212,424,99.83
1213,426,58.78
1214,428,36.32
1215,430,98.02
1216,432,69.61
1217,434,22.81
1218,436,94.25
1219,438,79.04
1220,440,8.84
1221,442,88.59
1222,444,86.9
1223,446,5.31
1224,448,81.16
1225,450,93.01
1226,452,19.34
1227,454,72.11
1228,456,97.26
1229,458,33.0
1230,460,61.61
1231,462,99.57
1232,464,45.99
1233,466,49.87
1234,468,99.88
1235,470,58.06
1236,472,37.14
1237,474,98.2
1238,476,68.97
1239,478,23.67
1240,480,94.54
1241,482,78.5
1242,484,9.72
1243,486,89.0
1244,488,86.45
1245,490,4.42
1246,492,81.68
1247,494,92.68
1248,496,18.48
1249,498,72.72
1250,500,97.05
1251,502,32.16
1252,504,62.3
1253,506,99.48
1254,508,45.2
